"site","code_111","code_112","code_121","code_122","code_133","code_211","code_221","code_222","code_231","code_242","code_243","code_311","code_312","code_313","code_321","code_323","code_324","code_331","code_411","code_512","totalarea","urban","pastures","agriculture","nat_nonforest","forest","sum_percent"
"A",0,5.66,0,0,0,11.89,0,0,63.92,2.18,6.89,8.45,0,0,0,0,1.01,0,0,0,29200624.999996,5.66,70.81,11.89,0,9.46,92.16
"B",0,4.05,0,0,0,12.16,0,0,37.97,11.11,3.05,5.9,20.46,4.1,0.15,0,1.06,0,0,0,102186249.999998,4.05,41.02,12.16,0.15,31.52,84.85
"C",0,1.34,0,0,0,14.69,0,44.08,0.1,5.87,26.27,7.65,0,0,0,0,0,0,0,0,7599375,1.34,26.37,58.77,0,7.65,92.79
"D",0,5.47,0.85,0,0,9.69,0,0,34.12,7.15,11.03,26.85,2.93,0.48,0,0,1.21,0,0,0,134667500.000033,6.32,45.15,9.69,0,31.47,86.31
"E",0,6.98,0,0,0,33.44,0,6.25,17.48,4.06,3.59,26.41,1.79,0,0,0,0,0,0,0,35185625.000037,6.98,21.07,39.69,0,28.2,88.96
"F",0,5.6,0,0,0,52.94,0,0,20.49,8.33,0,12.63,0,0,0,0,0,0,0,0,21823125.000015,5.6,20.49,52.94,0,12.63,86.06
"G",0,6.52,0.02,0,0,42.97,1.89,0.7,14.14,11.98,8.44,12.95,0,0,0,0,0,0,0,0.39,117752499.999974,6.54,22.58,45.56,0,12.95,81.09
"H",0,6.02,0,0,0,16.11,0,1.65,19.18,7.61,9.16,37.78,0.36,0,0,0,2.12,0,0,0,126213125.000019,6.02,28.34,17.76,0,40.26,86.36
"I",0,5.63,0,0,0,16,0,0,10.99,6.29,29.73,31.36,0,0,0,0,0,0,0,0,41926250.000003,5.63,40.72,16,0,31.36,88.08
"K",0,3.12,0,0,0,12.05,0,4.88,27.17,5.42,11.03,35.36,0,0,0,0,0.98,0,0,0,133781875.000036,3.12,38.2,16.93,0,36.34,91.47
"L",0,0.64,0,0,0,5.61,0,1.2,37.36,2.02,2.46,50.7,0,0,0,0,0,0,0,0,15885625.000002,0.64,39.82,6.81,0,50.7,97.33
"M",0,3.68,0.8,0,0,9.2,0.33,0,31.26,9.97,7.76,33.03,0,0,0,0,3.98,0,0,0,33060000.000003,4.48,39.02,9.53,0,37.01,85.56
"N",0,3.27,0,0,0,21.45,0,0,63.27,2.78,2.86,1.41,0,0,0,0,4.96,0,0,0,23199375.000005,3.27,66.13,21.45,0,6.37,93.95
"O",0,0,0,2.48,0,61.38,0,0,3.86,0.08,0,2.91,0,0,29.12,0,0,0,0,0,9356250.000001,2.48,3.86,61.38,29.12,2.91,97.27
"P",0,4.61,0.26,0.92,0,38.16,0,0,24.18,4.65,3.23,18.36,0,0.4,3.13,0,1.35,0,0,0.67,171731874.99999,5.79,27.41,38.16,3.13,20.11,88.81
"Q",0,3.63,1.33,0.85,0,32.89,0,0,35.78,0,4.39,19.11,0,0,2.03,0,0,0,0,0,33123124.99998,5.81,40.17,32.89,2.03,19.11,94.2
"R",0,8.7,0,0,2.04,10.06,0,0,26.29,18.64,0,33.52,0,0,0,0,0.74,0,0,0,32717500.000006,10.74,26.29,10.06,0,34.26,70.61
"S",0,7.36,0,0,0,16.67,0,0,27.87,9.49,3.19,33.84,0.5,0.61,0,0,0.46,0,0,0,157004375.000004,7.36,31.06,16.67,0,35.41,83.14
"T",0,7.14,0,0,0,20.25,0,0,30.2,6.25,5.3,29.11,0,0.01,0,0,1.73,0,0,0,176798750.000018,7.14,35.5,20.25,0,30.85,86.6
"X",0,0,0,0,0,0,0,0,16.91,0,14.5,66.51,0,0.31,1.77,0,0,0,0,0,10860000,0,31.41,0,1.77,66.82,100
"Y",0,0,0,0,0,0,0,0,5.89,0,0,94.11,0,0,0,0,0,0,0,0,10939374.999992,0,5.89,0,0,94.11,100
"Z",0,1.08,0,0,0,0,0,0,10.59,5.15,0.02,5.13,66.86,7.08,0.72,0,3.37,0,0,0,20991249.999992,1.08,10.61,0,0.72,82.44,93.77
