variable,unit,min,max,mean,sd
no3,mg/L,0.01,3.8,1.36,0.96
no2,mg/L,0.01,0.06,0.02,0.02
nh4,mg/L,0.1,1.3,0.19,0.28
po4,mg/L,0.2,1,0.55,0.23
cl,mg/L,2,50,21.53,14.55
el_cond,mS/cm,0.3,0.94,0.65,0.2
max_sumtu_iv,NA,-1.62,-0.01,-0.64,0.48
o2_perc,%,57.6,107.7,81.4,12.89
ph,NA,8.02,8.91,8.31,0.2
water_temp,°C,17.33,27.9,21.98,2.78
flow,m/s,0.05,0.53,0.29,0.12
riffles,%,10,100,57.37,26
pools,%,0,90,42.63,26
maximum strean width,m,1.25,14.5,4.73,3.44
minimum strean width,m,0.9,8.5,3.07,2.02
average strean depth,cm,17,71.67,31.68,15.49
curvature,NA,stretched,meandering,strongly curved,NA
shading,%,0,100,52.37,37.24
buffer_width,m,3,50,15.26,14.64
vegetation cover,%,35,100,60.26,16.95
vegetation height,m,1.7,18,9.93,5.23
totalarea,km^2,7.6,176.8,73.85,60.81
urban,%,0.6,10.7,5.2,2.36
pastures,%,3.9,70.8,34.95,15.44
arable land,%,6.8,61.4,26.13,17.79
forest,%,2.9,50.7,25.19,13.47
