"site","date","sample_id","life_stage","size_class_1","size_class_2","size_class_3","size_class_4","size_class_5","size_class_6","size_class_7","size_class_8","size_class_9","size_class_10","size_class_11","size_class_12","size_class_13","size_class_14","size_class_15","size_class_16","size_class_17","size_class_18","size_class_19","size_class_20","size_class_21","size_class_22","size_class_23","size_class_24","size_class_25","size_class_26","size_class_27","sum"
"A",2016-04-18,"A_2016-04-18","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",2016-04-18,"A_2016-04-18","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A",2016-04-18,"A_2016-04-18","fn",0,0,0,0,2,6,3,2,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19
"A",2016-04-18,"A_2016-04-18","j",14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"A",2016-04-18,"A_2016-04-18","sum",14,0,1,1,2,6,3,2,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,35
"A",2016-06-24,"A_2016-06-24","m",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,7
"A",2016-06-24,"A_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0,0,0,8
"A",2016-06-24,"A_2016-06-24","fn",0,0,0,0,5,1,1,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"A",2016-06-24,"A_2016-06-24","j",100,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
"A",2016-06-24,"A_2016-06-24","sum",100,19,5,2,5,1,1,4,4,3,0,2,0,2,0,0,4,1,3,0,0,2,0,0,1,0,0,159
"B",2016-04-18,"B_2016-04-18","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-04-18,"B_2016-04-18","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-04-18,"B_2016-04-18","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-04-18,"B_2016-04-18","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-04-18,"B_2016-04-18","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-06-24,"B_2016-06-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-06-24,"B_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-06-24,"B_2016-06-24","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-06-24,"B_2016-06-24","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",2016-06-24,"B_2016-06-24","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",2016-04-18,"C_2016-04-18","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"C",2016-04-18,"C_2016-04-18","fo",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"C",2016-04-18,"C_2016-04-18","fn",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"C",2016-04-18,"C_2016-04-18","j",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"C",2016-04-18,"C_2016-04-18","sum",28,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,35
"C",2016-06-24,"C_2016-06-24","m",0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,12
"C",2016-06-24,"C_2016-06-24","fo",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"C",2016-06-24,"C_2016-06-24","fn",0,0,0,0,6,3,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16
"C",2016-06-24,"C_2016-06-24","j",9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"C",2016-06-24,"C_2016-06-24","sum",9,3,3,2,6,3,5,1,3,2,0,0,1,0,1,1,1,3,0,3,0,0,0,0,0,0,0,47
"D",2016-04-18,"D_2016-04-18","m",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4
"D",2016-04-18,"D_2016-04-18","fo",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"D",2016-04-18,"D_2016-04-18","fn",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"D",2016-04-18,"D_2016-04-18","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",2016-04-18,"D_2016-04-18","sum",0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7
"D",2016-06-25,"D_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",2016-06-25,"D_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",2016-06-25,"D_2016-06-25","fn",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"D",2016-06-25,"D_2016-06-25","j",21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"D",2016-06-25,"D_2016-06-25","sum",21,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"E",2016-04-19,"E_2016-04-19","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",2016-04-19,"E_2016-04-19","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"E",2016-04-19,"E_2016-04-19","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",2016-04-19,"E_2016-04-19","j",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E",2016-04-19,"E_2016-04-19","sum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"E",2016-06-24,"E_2016-06-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",2016-06-24,"E_2016-06-24","fo",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E",2016-06-24,"E_2016-06-24","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",2016-06-24,"E_2016-06-24","j",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E",2016-06-24,"E_2016-06-24","sum",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F",2016-04-19,"F_2016-04-19","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F",2016-04-19,"F_2016-04-19","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
