"site","date","sample_id","phylum","class","sub_class","order","family","genus","species","abundance","origin"
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,1832,1
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,26,1
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Hirudinea","Rhynchobdellida","Glossiphoniidae","Helobdella",NA,3,1
"A","2016-06-24","A_2016-06-24","Mollusca",NA,NA,NA,NA,NA,NA,11,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",477,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,8,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydrophilidae",NA,NA,4,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,435,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Dolichopodidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,9,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Psychodidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,477,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,3,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tipulidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,659,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,2,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,5,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,198,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Dytiscidae","Agabus",NA,1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,5,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",2,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche angustipennis",28,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",99,2
"B","2016-06-24","B_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,43,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,7,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,14,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,832,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Empididae",NA,NA,1,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,23,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,8,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,313,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,3,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,16,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,289,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydroptilidae","Hydroptila",NA,1,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",7,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",2,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Oligoneuriidae","Oligoneuriella","Oligoneuriella rhenana",1,2
