site,gam_bodyweight,gam_shr,all_shr,nongam_shr,G-dominated,yes,no
A,0.663169811320755,477,487,10,yes,11,8
B,0,0,39,39,no,,
C,2.04078723404255,47,81,34,yes,,
D,0.437769230769231,26,111,85,no,,
E,1.83433333333333,3,7,4,no,,
F,4.16905357142857,56,301,245,no,,
G,2.57240522875817,3132,3153,21,yes,,
H,1.79,1,4,3,no,,
I,1.102,1,17,16,no,,
K,2.52679487179487,39,46,7,yes,,
L,0,0,2,2,no,,
M,3.07734415584416,507,508,1,yes,,
N,3.55497191011236,178,195,17,yes,,
O,2.35488414634146,1544,1548,4,yes,,
P,4.17195652173913,23,24,1,yes,,
Q,4.8935,16,40,24,no,,
R,5.05,1,2,1,yes,,
S,6.8145,2,2,0,yes,,
T,6.28796551724138,29,34,5,yes,,
