site,leaf_type,mesh_size,mean_mass_start,mean_mass_end,mass_loss,inv_mass_loss,remaining_mass
A,E,coarse,1.99,0.106906666666667,94.6278056951424,49.0661849495994,50.9338150504006
A,B,coarse,2.0175,1.3473275,33.2179677819083,7.81699217215221,92.1830078278478
A,MI_E,coarse,1.02,0.445805,56.2936274509804,13.3356469949543,86.6643530050457
A,MI_B,coarse,1.01666666666667,0.184753333333333,81.8275409836066,55.2748017096792,44.7251982903209
B,E,coarse,2.05,0.40992,80.0039024390244,48.1750024390244,51.8249975609756
B,B,coarse,1.96,1.41035,28.0433673469388,NA,Na
B,MI_E,coarse,1.02,0.18311,82.0480392156863,0,100
B,MI_B,coarse,1.02,0.78235,23.2990196078431,5.90149383464727,94.0985061653527
C,E,coarse,1.98666666666667,0.924663333333334,53.4565436241611,3.26018452191669,96.7398154780833
C,B,coarse,2.01,1.133946,43.584776119403,24.2654709084848,75.7345290915152
C,MI_E,coarse,0.99,0.418436666666667,57.73367003367,12.42327003367,87.57672996633
C,MI_B,coarse,1.01333333333333,0.7569,25.3059210526316,8.70873151014793,91.2912684898521
D,E,coarse,2.05,0.08711,95.7507317073171,22.399007569386,77.600992430614
D,B,coarse,1.98333333333333,1.00341933333333,49.4074285714286,14.2837469793888,85.7162530206112
D,MI_E,coarse,1.01333333333333,0.162703333333333,83.94375,28.6688204225352,71.3311795774648
D,MI_B,coarse,1.04,0.432545,58.4091346153846,31.9454807692308,68.0545192307693
E,E,coarse,2.08333333333333,0.729016666666667,65.0072,19.7091528619529,80.2908471380471
E,B,coarse,2.025,1.4945,26.1975308641975,2.09693827160494,97.9030617283951
E,MI_E,coarse,1.014,0.3696875,63.5416666666667,14.9689869281046,85.0310130718954
E,MI_B,coarse,1.00666666666667,0.66579,33.8619205298013,12.0385374452242,87.9614625547758
F,E,coarse,1.98,0.177985,91.0108585858586,32.0096330956625,67.9903669043375
F,B,coarse,2.02,1.41035333333333,30.1805280528053,4.35171617161714,95.6482838283829
F,MI_E,coarse,1.04,0.16158,84.4634615384615,20.7459697892866,79.2540302107134
F,MI_B,coarse,1.02,0.694376666666667,31.9238562091503,7.3058090711032,92.6941909288968
G,E,coarse,2.015,0.000165,99.9918114143921,32.1060271006666,67.8939728993334
G,B,coarse,1.34627,1.34627,0,0,100
G,MI_E,coarse,NA,NA,NA,NA,NA
G,MI_B,coarse,0.197126666666667,0.197126666666667,0,0,100
H,E,coarse,2.035,0.64782,68.1660933660934,32.574678731947,67.425321268053
H,B,coarse,1.96,1.34008,31.6285714285714,9.74177142857143,90.2582285714286
H,MI_E,coarse,0.96,0.43689,54.490625,0,100
H,MI_B,coarse,1.04,0.69667,33.0125,NA,NA
I,E,coarse,1.97,0.66452,66.2680203045685,16.4281195601517,83.5718804398483
I,B,coarse,2.01,1.34402,33.1333333333333,0,100
I,MI_E,coarse,0.97,0.44871,53.7412371134021,0,100
I,MI_B,coarse,0.98,0.67042,31.5897959183673,0.963657304505958,99.036342695494
K,E,coarse,2.04,0.20563,89.9200980392157,52.5115266106443,47.4884733893557
K,B,coarse,2.03,1.024925,49.5110837438424,24.8939337438424,75.1060662561576
K,MI_E,coarse,0.995,0.417243,58.0660301507538,7.27242608984006,92.72757391016
K,MI_B,coarse,1.01,0.52446,48.0732673267327,26.056903690369,73.943096309631
L,E,coarse,2.02,0.229705,88.6284653465347,43.8611866580101,56.1388133419899
L,B,coarse,2.01666666666667,1.17874666666667,41.5497520661157,3.02032677875936,96.9796732212406
L,MI_E,coarse,0.996666666666667,0.189526666666667,80.9839464882943,32.1008092333924,67.8991907666076
L,MI_B,coarse,1.015,0.587595,42.1088669950739,21.9322114766792,78.0677885233208
N,E,coarse,2,0.24504,87.748,13.2501634615385,86.7498365384615
N,B,coarse,2.01333333333333,1.06078333333333,47.3120860927152,19.9659194260486,80.0340805739514
N,MI_E,coarse,1.03,0.11179,89.1466019417476,28.6661979013435,71.3338020986565
N,MI_B,coarse,1.02333333333333,0.482733333333333,52.8273615635179,28.4045136670778,71.5954863329222
O,E,coarse,2.02,8.00E-05,99.9960396039604,59.3535232640911,40.6464767359089
O,B,coarse,2.025,0.779765,61.4930864197531,36.3158270396552,63.6841729603448
O,MI_E,coarse,1,0.01513,98.487,44.3654717607974,55.6345282392027
O,MI_B,coarse,1.025,0.505958,50.638243902439,25.6545894173892,74.3454105826108
P,E,coarse,2.08,0.31788,84.7173076923077,44.6283653846154,55.3716346153846
P,B,coarse,2.06,1.04653,49.197572815534,22.2691569739498,77.7308430260502
P,MI_E,coarse,1.01,0.05761,94.2960396039604,16.7059405940594,83.2940594059406
P,MI_B,coarse,1.01,0.417635,58.65,30.7378431372549,69.2621568627451
Q,E,coarse,1.99,0.43269,78.256783919598,32.9463448952077,67.0536551047923
Q,B,coarse,1.98,1.450499,26.7424747474748,0,100
Q,MI_E,coarse,0.99,0.32404,67.2686868686869,NA,NA
Q,MI_B,coarse,,NA,NA,NA,NA
R,E,coarse,2.05,0.10066,95.089756097561,56.484956097561,43.515043902439
R,B,coarse,2.025,1.64395,18.8172839506173,3.81528395061727,96.1847160493827
R,MI_E,coarse,0.96,0.53341,44.4364583333333,13.4458460884354,86.5541539115646
R,MI_B,coarse,0.97,0.7688,20.7422680412371,NA,NA
S,E,coarse,2.03,1.02204,49.6532019704433,0,100
S,B,coarse,2.005,0.897135,55.2551122194514,24.5584127120622,75.4415872879378
S,MI_E,coarse,0.983333333333333,0.32545,66.9033898305085,21.9415593220339,78.0584406779661
S,MI_B,coarse,1.00333333333333,0.617276666666667,38.4774086378738,9.23206210322029,90.7679378967797
T,E,coarse,1.99,0.253525,87.2600502512563,4.25375395495999,95.74624604504
T,B,coarse,2.015,1.236095,38.6553349875931,10.1100824623405,89.8899175376595
T,MI_E,coarse,1.00666666666667,0.034056666666667,96.6168874172186,21.7782032066922,78.2217967933078
T,MI_B,coarse,1.03666666666667,0.55765,46.2073954983923,0,100
