"site","area_mn","frac_cv","lsi","mesh","pd","prd"
"A",73.0015625,4.49754452164717,5.87349676225717,989.519298899852,1.36983369362813,0.136983369362813
"B",145.980357142857,4.21844961011343,8.41926310583581,1326.75405287526,0.685023670014312,0.0391442097151035
"C",37.996875,4.06651913093994,3.92656391659112,257.303416687228,2.63179537790937,0.526359075581874
"D",109.485772357724,4.40507384883879,9.86686772942697,1450.38207054876,0.913360684649229,0.0297027864926578
"E",58.6427083333333,4.28436911509356,6.94247787610619,357.915504923886,1.70524184237171,0.113682789491447
"F",53.2271341463415,3.50740113126262,4.54761904761905,662.355215153077,1.87874101440559,0.183291806283472
"G",104.726852678571,4.06963881288406,10.454534964228,1025.71906527301,0.954864940961425,0.0341023193200509
"H",188.377798507463,4.34808303946283,9.68669336893636,1425.95667435885,0.530848119005056,0.0316924250152272
"I",91.1440217391304,5.12579114422236,7.14280200694712,710.539715425897,1.09716466414239,0.0954056229689037
"K",139.356119791667,3.83445503388064,11.9926518262373,621.292583766953,0.7175859958608,0.0298994164942
"L",132.380208333333,4.03445471670054,4.04263322884012,604.095673836409,0.755399929181257,0.251799976393752
"M",103.3125,3.83615690821416,6.99239130434783,455.192517347247,0.967937084089534,0.120992135511192
"N",77.33125,4.54405378482051,5.94499221587961,922.879752118861,1.29313828497535,0.172418437996713
"O",93.5625,3.50338444118129,2.77900326797386,269.008427107548,1.0688042752171,0.42752171008684
"P",125.426966911765,4.16902405448011,11.2945454545455,910.94796514721,0.797276713789531,0.0234493151114568
"Q",61.3391203703704,3.89822294040564,6.14372557533652,533.364018048191,1.63028095929958,0.12076155254071
"R",109.058333333333,3.50729994444229,5.5277534965035,577.307254638191,0.916940475280813,0.122258730037442
"S",128.692110655738,4.6070799238202,12.8055056852184,609.949323637876,0.777048410275191,0.025476997058203
"T",126.284821428571,4.57355129069729,13.6203233690543,683.349365708892,0.791860802183273,0.0226245943480935
