"Variable","bowe","log_gash","log_nongam","k"
"family","Gaussian","Gaussian","Gaussian","Gaussian"
"r2","0","0.9","0","0"
"alpha","0.927","0.394","0","0.706"
"lambda","0.999","0.077","0.404","0.014"
"(Intercept)","3.14","1.41","0.99","0.02"
"arableLand","0","0.22","0","0"
"pastures","0","0","0","0"
"ls_hetero","0","0","0","0"
"FUS","0","-0.52","0","0"
"fineSed","0","0","0","0"
"mgO2","0","-0.31","0","0"
"max_sumTUiv","0","0.13","0","0"
"elCond","0","0.24","0","0"
"flow","0","0.6","0","0"
"orthoP","0","-0.13","0","0"
"log_gamshr",NA,NA,NA,"0"
"log_nongam",NA,NA,NA,"0"
